Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
24.1,21.036,13.972,1.843,1.906,2,11.724,17.977
24.1,21.036,13.972,1.843,1.906,2,11.724,17.977
24.1,21.036,13.972,1.843,1.906,2,11.724,17.977
24.10,22.36,17.317,1.843,1.906,2,11.724,17.977
24.10,22.36,17.317,1.843,1.906,2,11.724,17.977
24.10,22.36,17.317,1.843,1.906,2,11.724,17.977
24.13,27.83,18.964,1.843,1.906,2,11.724,17.977
24.13,27.83,18.964,1.843,1.906,2,11.724,17.977
24.13,27.83,18.964,1.843,1.906,2,11.724,17.977
24.2,22.379,17.23,1.843,1.906,2,11.724,17.977
24.2,22.379,17.23,1.843,1.906,2,11.724,17.977
24.2,22.379,17.23,1.843,1.906,2,11.724,17.977
24.3,19.222,12.229,1.843,1.906,2,11.724,17.977
24.3,19.222,12.229,1.843,1.906,2,11.724,17.977
24.3,19.222,12.229,1.843,1.906,2,11.724,17.977
24.6,21.925,16.897,1.843,1.906,2,11.724,17.977
24.6,21.925,16.897,1.843,1.906,2,11.724,17.977
24.6,21.925,16.897,1.843,1.906,2,11.724,17.977
41.14,18.8,10.005,1.843,1.906,2,11.724,17.977
41.14,18.8,10.005,1.843,1.906,2,11.724,17.977
41.14,18.8,10.005,1.843,1.906,2,11.724,17.977
41.141,17.964,11.958,1.843,1.906,2,11.724,17.977
41.141,17.964,11.958,1.843,1.906,2,11.724,17.977
41.141,17.964,11.958,1.843,1.906,2,11.724,17.977
41.142,17.472,8.862,1.843,1.906,2,11.724,17.977
41.142,17.472,8.862,1.843,1.906,2,11.724,17.977
41.142,17.472,8.862,1.843,1.906,2,11.724,17.977
41.143,17.322,9.534,1.843,1.906,2,11.724,17.977
41.143,17.322,9.534,1.843,1.906,2,11.724,17.977
41.143,17.322,9.534,1.843,1.906,2,11.724,17.977
41.144,15.663,11.688,1.843,1.906,2,11.724,17.977
41.144,15.663,11.688,1.843,1.906,2,11.724,17.977
41.144,15.663,11.688,1.843,1.906,2,11.724,17.977
41.146,17.428,12.172,1.843,1.906,2,11.724,17.977
41.146,17.428,12.172,1.843,1.906,2,11.724,17.977
41.146,17.428,12.172,1.843,1.906,2,11.724,17.977
18.CR1,18.434,13.285,1.843,1.906,2,11.724,17.977
18.CR1,18.434,13.285,1.843,1.906,2,11.724,17.977
18.CR1,18.434,13.285,1.843,1.906,2,11.724,17.977
18.CR12,18.612,13.154,1.843,1.906,2,11.724,17.977
18.CR12,18.612,13.154,1.843,1.906,2,11.724,17.977
18.CR12,18.612,13.154,1.843,1.906,2,11.724,17.977
18.CR2,19.768,14.295,1.843,1.906,2,11.724,17.977
18.CR2,19.768,14.295,1.843,1.906,2,11.724,17.977
18.CR2,19.768,14.295,1.843,1.906,2,11.724,17.977
18.CR4,19.329,14.088,1.843,1.906,2,11.724,17.977
18.CR4,19.329,14.088,1.843,1.906,2,11.724,17.977
18.CR4,19.329,14.088,1.843,1.906,2,11.724,17.977
18.CR5,18.545,12.613,1.843,1.906,2,11.724,17.977
18.CR5,18.545,12.613,1.843,1.906,2,11.724,17.977
18.CR5,18.545,12.613,1.843,1.906,2,11.724,17.977
21.CR1,19.043,10.477,1.843,1.906,2,11.724,17.977
21.CR1,19.043,10.477,1.843,1.906,2,11.724,17.977
21.CR1,19.043,10.477,1.843,1.906,2,11.724,17.977
21.CR2,21.675,14.023,1.843,1.906,2,11.724,17.977
21.CR2,21.675,14.023,1.843,1.906,2,11.724,17.977
21.CR2,21.675,14.023,1.843,1.906,2,11.724,17.977
21.CR3,19.104,10.435,1.843,1.906,2,11.724,17.977
21.CR3,19.104,10.435,1.843,1.906,2,11.724,17.977
21.CR3,19.104,10.435,1.843,1.906,2,11.724,17.977
21.CR5,17.981,10.869,1.843,1.906,2,11.724,17.977
21.CR5,17.981,10.869,1.843,1.906,2,11.724,17.977
21.CR5,17.981,10.869,1.843,1.906,2,11.724,17.977
21.CR6,18.66,10.915,1.843,1.906,2,11.724,17.977
21.CR6,18.66,10.915,1.843,1.906,2,11.724,17.977
21.CR6,18.66,10.915,1.843,1.906,2,11.724,17.977
21.CR7,19.09,11.256,1.843,1.906,2,11.724,17.977
21.CR7,19.09,11.256,1.843,1.906,2,11.724,17.977
21.CR7,19.09,11.256,1.843,1.906,2,11.724,17.977
21.RQ1,19.347,12.021,1.839,1.907,3,11.226,17.531
21.RQ1,19.347,12.021,1.839,1.907,3,11.226,17.531
21.RQ1,19.347,12.021,1.839,1.907,3,11.226,17.531
21.RQ2,20.114,13.084,1.839,1.907,3,11.226,17.531
21.RQ2,20.114,13.084,1.839,1.907,3,11.226,17.531
21.RQ2,20.114,13.084,1.839,1.907,3,11.226,17.531
21.RQ3,18.002,12.88,1.839,1.907,3,11.226,17.531
21.RQ3,18.002,12.88,1.839,1.907,3,11.226,17.531
21.RQ3,18.002,12.88,1.839,1.907,3,11.226,17.531
21.RQ4,18.713,13.66,1.839,1.907,3,11.226,17.531
21.RQ4,18.713,13.66,1.839,1.907,3,11.226,17.531
21.RQ4,18.713,13.66,1.839,1.907,3,11.226,17.531
21.RQ5,19.966,12.039,1.839,1.907,3,11.226,17.531
21.RQ5,19.966,12.039,1.839,1.907,3,11.226,17.531
21.RQ5,19.966,12.039,1.839,1.907,3,11.226,17.531
21.RQ6,21.674,16.073,1.839,1.907,3,11.226,17.531
21.RQ6,21.674,16.073,1.839,1.907,3,11.226,17.531
21.RQ6,21.674,16.073,1.839,1.907,3,11.226,17.531
BT1,18.586,10.703,1.847,1.848,1,8.581,17.333
BT1,18.586,10.703,1.847,1.848,1,8.581,17.333
BT1,18.586,10.703,1.847,1.848,1,8.581,17.333
BT10,17.669,17.495,1.847,1.848,1,8.581,17.333
BT10,17.669,17.495,1.847,1.848,1,8.581,17.333
BT10,17.669,17.495,1.847,1.848,1,8.581,17.333
BT14.12,17.704,13.272,1.839,1.907,3,11.226,17.531
BT14.12,17.704,13.272,1.839,1.907,3,11.226,17.531
