Lagilis,Palgirus,Cocellatus,Zvivipara,Ckingii,Ggalloti_Gilbert
0.049334309,-0.246925959,-1.470839872,-0.294974995,0.060638936,-0.048399455
-1.176549041,1.441909479,-0.695371481,0.816318514,-1.90819234,-0.512168511
-0.929564793,-0.27941884,-0.630759711,-1.033394502,-0.245551702,0.919237837
-0.319182042,-0.666965563,-0.295157129,0.439281924,0.831038511,-0.50076472
-1.180033719,-0.855470595,-0.116673621,2.04281602,-0.09985383,-0.038818634
-1.156203257,5.084245677,0.204820148,-0.228197717,0.226448085,-0.511361633
0.315738237,0.184602256,0.262256071,-0.064039351,0.827525106,-0.323827588
-1.077387911,0.018342732,0.368158636,-0.589873774,-0.381795532,1.239425634
-0.034882255,1.353776803,0.519253462,-0.474845662,-0.553891489,0.457356649
1.369876035,1.246590806,0.521045437,1.435430066,0.463077021,-0.572555443
-0.028103824,-0.443228591,0.647338537,2.069784894,-0.857809787,-0.454540927
-0.315950753,-0.758103922,0.667953177,0.78934964,0.244238511,-0.476073963
-0.955570481,-0.526901374,0.67260851,-0.682799135,-0.736590213,-0.433669755
-0.729068778,-0.541658664,0.691326148,-0.65817538,1.02426,-0.440607182
-1.238192715,-0.507892825,0.703979132,-0.513246994,0.66070383,-0.470170906
0.099747085,3.132734568,0.798467182,-0.879202894,-1.139244681,-0.346663651
-0.074719868,0.360071715,0.999581899,-0.70507777,0.105326809,1.090152771
-0.650891135,0.671599689,1.255835269,-1.060363376,-0.068929787,0.221094355
0.427653948,-0.363991044,1.44835616,-0.30822492,-0.583166809,1.207534428
-1.122252937,-0.113725168,1.499686846,-1.561046392,1.879632979,0.041181825
-1.478646942,-0.317002915,1.557390056,-1.520593081,-1.690103617,0.377953976
-0.918615257,-0.268503902,1.704945816,0.665644585,-0.708309149,0.424161711
-0.58563986,0.195458153,1.806027237,-1.014047266,0.872798511,0.069826873
-0.291046171,-0.619578968,1.905415585,-0.853992859,0.044366596,-0.076600229
0.022803194,0.815124457,1.953831839,-0.927864124,-0.04559766,-0.48639698
0.034429127,-0.151048037,1.994619887,-0.545785527,-0.83897766,-0.4992036
0.093970723,1.094997582,2.148680021,-1.366987753,0.573340851,0.398412752
1.450008078,0.03632544,2.293218249,-1.588015267,0.605306383,-0.450149023
-0.987655451,0.361592826,2.313468801,-0.331734744,1.523018511,1.099191407
-0.953247286,0.151787345,2.392247945,0.263104821,-0.623051064,-0.379124704
-1.289718344,-0.312448971,-0.952417835,-0.775431355,-0.068578085,-0.357631647
-1.220156754,-0.290051875,-0.952417835,0.386164967,2.149313064,0.39394277
-0.071539271,-0.18058962,-0.939585064,-1.484830008,-1.504568723,-0.329952654
-1.255675702,-0.112196782,-0.902225827,-0.025051739,0.550988085,-0.482133509
-0.023671661,-0.292164019,-0.75287998,-0.926691564,2.523523511,-0.433720517
0.52045829,-0.645236696,-0.720054528,-0.80181395,-0.034871064,-0.672776097
-1.308964841,-0.256599512,-0.692581105,1.084248419,0.429334255,-0.552838389
-0.536683774,-0.27640455,-0.657812789,0.831561791,-1.480156809,-0.510161974
-0.374913566,-0.411855146,-0.657086851,1.423118188,-0.950109362,-0.550677606
-0.843118194,-0.460097408,-0.633434119,0.08511025,-1.074888723,-0.54110326
-1.425202767,-0.441046833,-0.578896441,0.898983977,,-0.545521802
-0.775898351,-0.560876304,-0.564777251,1.255442143,,-0.146851211
-1.110173754,-0.434999332,-0.521458375,0.993375037,,-0.24887443
-1.075686326,-0.410952654,-0.4988108,1.519854368,,0.393663053
-0.333880177,-0.214369249,-0.334885641,0.944127528,,0.984825744
-0.620893317,0.794399825,-0.285817011,0.451300662,,-0.529140321
-0.569926556,0.028319146,-0.284370085,0.070394625,,-0.17679772
-0.856786264,-0.229302714,-0.264420655,1.84992994,,-0.381676783
-1.306321061,-0.541451904,-0.249932218,0.891362339,,0.839319469
-1.211614301,-0.398320411,-0.213149681,1.452432182,,-0.237424887
-0.688040894,-0.694265232,-0.211865226,0.388685971,,-0.117260671
-1.13708757,-0.643001817,-0.191571628,0.410730094,,0.899758678
0.185781821,0.109812801,-0.173394214,0.238305182,,-0.674838686
-0.645078422,-0.586244305,-0.13161205,1.561480239,,0.549988603
-0.968396294,-0.690214427,-0.090025442,1.957805437,,-0.497753424
-0.782633962,-0.384353777,0.015450065,1.057865824,,1.106212215
-1.192033262,-0.109565689,0.042716617,0.48747413,,-0.528069988
-1.458025718,-0.244506499,0.175720329,1.774886115,,-0.375315775
-0.507062501,-0.258953302,0.195747801,-0.157492364,,-0.482516234
-0.575126483,1.657526729,0.208730969,1.210884872,,-0.430214451
-1.117479082,-0.482605996,0.262256071,1.706877649,,-0.252194839
-0.606932903,-0.420584513,0.267721519,-0.364918185,,-0.577936752
-1.066780832,0.026936362,0.267721519,1.582586315,,1.122387563
-0.073738691,0.354060341,0.393308399,0.605844038,,0.719415654
-0.966159638,-1.02449812,0.475297055,1.65704386,,-0.583713587
0.281222331,-0.54897953,0.500614637,0.889603499,,0.701014529
-1.140685387,0.320334479,0.616430037,1.002169236,,-0.532134578
-0.62159221,-0.267827019,0.646978908,-0.040001876,,0.326916803
-0.696839643,-0.442174478,0.753909756,-0.216003096,,-0.451498301
0.991940556,0.009996402,0.774852261,-0.984733272,,-0.498492692
-0.487614818,1.408755568,0.788214185,-0.426301688,,-0.545776844
-0.406705053,-0.639086182,0.81866188,-1.065639895,,-0.498083382
-1.218504292,-0.650711242,0.866582849,-1.18875867,,-0.160921588
0.188013135,-0.425530387,0.873623338,-1.857704011,,0.443364024
